author,title,language,token_list_length,node_count,edge_count,average_degree,median_degree,diameter,average_distance,betweenness_min,betweenness_max,betweenness_average,betweenness_standard_deviation,average_clustering,powerlaw_alpha_value,powerlaw_xmin_value,lin_reg_approximation,assortativity_coefficient,stopwords_removed,link_distance,fixed_token_count
Kafka,Schloss,de,54134,7277,41120,11.3013604507352,3,7,3.17130138764751,0,0.130795514272724,0.000298460671841582,0.00279489308225518,0.183188931285958,2.15333476493977,16,-0.941037265204179,-0.139443924580093,True,1,0
Nietzsche,Menschliches,en,43121,6124,37720,12.3187459177008,4,15,3.36155668154029,0,0.0702988962742419,0.000385749212927195,0.00207358453785326,0.101100543904864,2.34326186354615,29,-0.791668711642634,-0.0594049021248363,True,1,0
Austen,Stolz,en,59083,4269,42081,19.7146872803935,6,8,2.97002891094074,0,0.0916617561280308,0.000461689456512945,0.00265618677040999,0.177296625308053,2.80038325648112,83,-0.532806025999152,-0.11769200504285,True,1,0
Austen,Anna,de,38490,5433,58528,21.5453708816492,7,7,2.80346940247064,0,0.122100644039723,0.00033206949041993,0.00280142745081066,0.458999388704676,2.22459932516956,32,0.360009709096329,-0.150173384266404,True,2,0
Austen,Mansfield,de,81527,9664,120051,24.8449917218543,8,6,2.77551796450995,0,0.118146793852728,0.000183762985356028,0.00211731699629771,0.46214629091001,3.23418048876513,324,0.419404049888796,-0.151757084709979,True,2,0
Hesse,Steppenwolf,de,33858,7968,58366,14.6501004016064,4,7,3.10220998844128,0,0.0909311795871316,0.000263897814265789,0.0020659912962535,0.417324236254713,2.23728763011536,19,0.0107969049460703,-0.084653891034025,True,2,0
Hesse,Siddhartha,en,19340,2702,27733,20.5277572168764,8,5,2.74361361351212,0,0.105319448928312,0.000645782819819302,0.00388293029442383,0.439394197943727,2.03381111524363,11,-0.0142036751466093,-0.119173108724107,True,2,0
Hesse,Demian,de,22144,5131,37555,14.6384720327422,4,6,3.0053485236511,0,0.0708676677492977,0.000390982359846189,0.00266907866350183,0.428119616116224,3.22778463416261,134,0.0405175037141654,-0.103419541644736,True,2,0
Nietzsche,Jenseits,de,30370,7402,51320,13.8665225614699,4,6,3.03820131217069,0,0.150576308087516,0.000275432609752797,0.00301626590128882,0.438420483373651,2.28929465251059,26,-0.0657892209061854,-0.101334854486546,True,2,0
Hesse,Demian,en,24682,3941,39532,20.0619132199949,8,5,2.83476983475811,0,0.121331808819338,0.000465795845330823,0.00296435920964821,0.40860213509036,2.77103383088428,77,0.0804876718518634,-0.0987257780970599,True,2,0
Nietzsche,Goetzen,de,13062,4076,22751,11.1633954857704,4,8,3.12274309590179,0,0.138305965404659,0.000521046415292536,0.00438244587112706,0.437005706724565,2.8810818075278,53,-0.19542534037811,-0.0955351309987142,True,2,0
Kafka,Amerika,en,49302,5342,64623,24.1943092474729,8,5,2.65627351995621,0,0.251394179141383,0.000310163580516144,0.0039993863709405,0.48967552237159,2.97754441688106,149,0.0982474943140577,-0.139604331014585,True,2,0
